timestamp,machine_type,machine_id,operator_id,task_type,soil_type,ground_condition,engine_rpm,engine_temperature_c,hydraulic_pressure_bar,hydraulic_oil_temperature_c,fuel_rate_lph,fuel_level_pct,vehicle_speed_kmh,idle_duration_min,blade_load_pct,blade_angle_deg,blade_height_m,drawbar_load_pct,traction_force_kn,track_speed_left_kmh,track_speed_right_kmh,track_slip_pct,dozing_depth_m,grading_accuracy_error_cm,vibration_level,slope_deg,ambient_temperature_c,operator_experience_years,machine_hours,maintenance_due_days,previous_anomaly_count_1hr,anomaly_type,is_anomaly,severity
2026-01-01 06:00:00,Bulldozer,CAT_020,OP_016,Dozing,Medium,Dry,1906.2,89.1,282.5,55.1,18.78,53.2,7.74,0.96,88.4,6.83,0.56,51.4,86.6,5.18,4.82,4.5,0.36,1.87,0.21,0.0,19.7,11.8,4985.0,13,0,Normal,0,Normal
2026-01-01 06:01:00,Bulldozer,CAT_014,OP_018,Dozing,Medium,Dry,1631.3,74.8,233.6,54.6,17.46,31.1,5.52,1.48,52.9,6.02,0.41,102.7,66.4,5.2,4.75,4.99,0.34,5.12,2.19,8.84,28.3,3.0,8280.8,24,0,Normal,0,Normal
2026-01-01 06:02:00,Bulldozer,CAT_010,OP_008,Dozing,Soft,Dry,1587.1,81.4,231.0,56.4,15.66,43.2,7.22,0.84,47.9,-1.93,0.41,74.3,135.0,7.68,5.43,8.02,0.47,1.46,1.49,0.0,37.8,6.6,5433.6,14,0,Normal,0,Normal
2026-01-01 06:03:00,Bulldozer,CAT_007,OP_001,Ripping,Medium,Wet,2083.4,74.5,284.4,48.2,19.42,52.7,2.78,4.42,45.2,8.34,0.57,72.9,117.9,5.38,9.09,6.46,0.15,3.77,1.55,0.67,39.0,7.9,8394.0,59,2,Normal,0,Normal
2026-01-01 06:04:00,Bulldozer,CAT_014,OP_028,Dozing,Hard,Dry,1361.9,81.4,233.2,58.4,16.38,79.8,2.39,15.9,80.5,3.26,0.72,68.2,100.8,3.8,3.58,8.31,0.45,11.46,1.17,4.17,34.6,12.5,863.1,48,0,Poor_Grading_Performance,1,High
2026-01-01 06:05:00,Bulldozer,CAT_007,OP_017,Grading,Medium,Damp,1879.4,84.6,237.7,44.4,22.15,77.9,3.22,7.02,64.8,18.81,0.67,86.6,83.1,6.06,6.25,5.1,0.52,9.98,1.16,3.94,33.0,7.1,1578.3,29,0,Poor_Grading_Performance,1,Medium
2026-01-01 06:06:00,Bulldozer,CAT_001,OP_001,Ripping,Medium,Wet,1862.7,84.5,311.3,68.8,18.8,32.5,10.37,0.93,78.2,5.51,0.43,53.2,131.7,5.36,1.88,5.18,0.24,2.5,1.64,2.92,23.9,2.3,5581.9,17,1,Normal,0,Normal
2026-01-01 06:07:00,Bulldozer,CAT_008,OP_002,Leveling,Soft,Dry,1475.4,85.8,271.9,51.1,13.76,96.8,3.04,7.17,92.4,8.51,0.73,67.8,132.3,8.05,8.42,1.96,0.19,2.41,1.47,2.18,24.1,14.9,9314.7,3,0,Normal,0,Normal
2026-01-01 06:08:00,Bulldozer,CAT_003,OP_015,Dozing,Medium,Loose,1708.3,79.8,279.4,58.0,19.65,27.3,2.46,2.05,66.4,13.51,0.76,86.9,103.9,7.22,3.45,5.67,0.26,13.28,0.88,5.96,23.4,10.7,5037.0,26,0,Poor_Grading_Performance,1,Critical
2026-01-01 06:09:00,Bulldozer,CAT_018,OP_014,Leveling,Medium,Dry,1517.8,82.2,284.8,61.1,15.5,81.3,5.89,5.2,110.1,11.39,0.49,114.4,147.5,6.36,9.83,2.75,0.4,0.97,2.24,3.42,40.6,9.4,9255.6,46,0,Blade_Overloading,1,Medium
