timestamp,machine_type,machine_id,operator_id,task_type,soil_type,ground_condition,engine_rpm,engine_temperature_c,hydraulic_pressure_bar,hydraulic_oil_temperature_c,fuel_rate_lph,fuel_level_pct,machine_speed_kmh,idle_duration_min,boom_movement_rate,arm_movement_rate,bucket_movement_rate,swing_speed_rpm,bucket_cycles_per_min,excavation_depth_m,bucket_load_pct,vibration_level,slope_deg,ambient_temperature_c,operator_experience_years,machine_hours,maintenance_due_days,previous_anomaly_count_1hr,task_duration_min,anomaly_type,is_anomaly,severity
2026-01-01 06:00:00,Excavator,CAT_002,OP_003,Excavation,Hard,Dry,1970.2,85.2,233.4,56.1,18.48,99.0,4.06,4.45,1.64,1.247,1.272,7.09,3.96,2.69,55.3,1.38,1.75,34.6,0.7,968.2,33,0,89.8,Aggressive_Boom_Movement,1,Critical
2026-01-01 06:01:00,Excavator,CAT_016,OP_029,Digging,Hard,Dry,1880.9,75.7,344.3,58.7,23.97,52.4,1.76,6.23,0.911,0.474,0.781,11.69,2.6,2.32,78.8,1.1,0.19,32.3,4.6,7571.9,32,0,103.2,Normal,0,Normal
2026-01-01 06:02:00,Excavator,CAT_014,OP_016,Loading,Medium,Wet,1759.0,85.1,250.3,62.1,20.71,82.8,2.56,0.16,0.804,0.626,0.785,13.28,2.47,3.17,55.2,1.29,3.66,18.1,4.4,4007.2,1,0,85.9,Normal,0,Normal
2026-01-01 06:03:00,Excavator,CAT_009,OP_030,Loading,Medium,Damp,1353.5,78.4,240.0,73.9,18.76,47.9,3.25,1.8,0.566,0.874,0.639,7.01,2.71,2.74,53.0,1.27,5.54,33.0,4.9,6303.1,38,1,44.5,Normal,0,Normal
2026-01-01 06:04:00,Excavator,CAT_009,OP_013,Trenching,Hard,Wet,1984.5,86.6,280.0,59.0,21.09,65.7,3.11,7.66,0.533,0.654,0.841,7.89,1.16,2.94,68.2,1.21,5.04,35.3,14.2,5981.9,19,0,44.4,Normal,0,Normal
2026-01-01 06:05:00,Excavator,CAT_018,OP_025,Digging,Soft,Dry,1812.3,81.4,270.9,62.9,17.66,75.9,1.61,6.07,0.966,0.457,0.613,13.87,2.69,2.12,59.9,0.72,5.53,29.5,11.7,9764.6,12,0,65.7,Normal,0,Normal
2026-01-01 06:06:00,Excavator,CAT_002,OP_010,Loading,Soft,Dry,2128.5,81.3,295.7,69.8,23.99,66.6,3.99,5.51,1.136,0.371,0.418,12.49,2.09,2.75,78.8,1.12,7.59,27.7,8.3,3118.1,42,0,155.2,Normal,0,Normal
2026-01-01 06:07:00,Excavator,CAT_014,OP_014,Excavation,Soft,Damp,1788.0,76.5,283.8,49.1,23.27,70.0,3.8,2.03,0.742,0.645,0.668,12.08,3.07,3.12,60.2,1.18,7.11,34.1,3.3,7241.3,17,0,60.7,Normal,0,Normal
2026-01-01 06:08:00,Excavator,CAT_005,OP_011,Excavation,Medium,Dry,2327.4,101.1,288.6,92.4,18.5,44.5,2.78,0.3,0.747,0.722,0.508,7.52,3.48,0.94,75.9,1.37,5.62,34.5,9.3,7991.1,42,0,37.8,Engine_Overheating,1,Medium
2026-01-01 06:09:00,Excavator,CAT_002,OP_017,Excavation,Soft,Damp,1660.0,80.4,234.7,55.7,22.34,50.0,2.18,10.27,0.789,0.794,0.708,8.86,4.71,2.65,67.4,0.61,3.55,34.8,13.0,1517.3,9,0,115.8,Normal,0,Normal
