timestamp,machine_type,machine_id,operator_id,task_type,material_type,ground_condition,engine_rpm,engine_temperature_c,transmission_temperature_c,hydraulic_pressure_bar,hydraulic_oil_temperature_c,fuel_rate_lph,fuel_level_pct,vehicle_speed_kmh,idle_duration_min,bucket_load_pct,bucket_fill_ratio_pct,lift_height_m,forward_speed_kmh,reverse_speed_kmh,acceleration_mps2,braking_intensity,loading_cycles_per_hour,cycle_time_sec,tire_slip_pct,vibration_level,slope_deg,ambient_temperature_c,operator_experience_years,machine_hours,maintenance_due_days,previous_anomaly_count_1hr,anomaly_type,is_anomaly,severity
2026-01-01 06:00:00,Loader,CAT_016,OP_015,Loading,Soil,Dry,1712.8,73.3,79.3,207.4,62.7,19.22,51.5,8.0,6.5,89.9,85.7,1.32,9.32,6.26,0.94,0.92,26.9,31.5,6.41,1.63,2.68,23.7,12.0,3222.3,30,0,Normal,0,Normal
2026-01-01 06:01:00,Loader,CAT_007,OP_023,Material_Handling,Sand,Dry,1274.4,77.0,74.5,254.0,64.8,13.67,52.3,10.61,2.88,63.5,74.1,2.75,5.71,5.0,0.67,1.33,39.8,35.1,7.49,1.34,0.0,25.0,9.4,3544.5,10,0,Normal,0,Normal
2026-01-01 06:02:00,Loader,CAT_005,OP_008,Material_Handling,Gravel,Wet,1890.7,86.6,67.1,292.6,56.7,19.93,79.3,11.39,1.79,84.4,62.9,1.65,9.6,3.11,1.71,1.14,31.3,45.3,1.13,1.66,1.57,28.3,10.4,1275.4,38,0,Normal,0,Normal
2026-01-01 06:03:00,Loader,CAT_017,OP_022,Loading,Gravel,Dry,2038.5,85.2,105.0,232.5,55.3,21.09,89.5,9.86,0.48,62.7,91.0,3.26,7.89,5.04,1.43,0.75,28.7,25.4,0.0,0.77,4.32,30.0,14.6,9161.1,32,0,Transmission_Overheating,1,Medium
2026-01-01 06:04:00,Loader,CAT_018,OP_016,Loading,Sand,Dry,1406.7,80.9,78.3,279.9,62.4,17.37,97.2,10.94,0.2,76.8,77.6,2.21,13.4,6.9,1.28,1.02,28.3,26.4,1.95,0.7,3.09,31.3,8.6,6840.8,3,2,Normal,0,Normal
2026-01-01 06:05:00,Loader,CAT_003,OP_016,Material_Handling,Soil,Dry,1687.5,78.5,77.9,220.2,51.7,15.42,96.5,20.43,4.58,83.8,83.9,2.28,8.26,7.3,1.14,3.29,16.1,32.4,1.45,1.58,3.34,25.0,13.7,7357.9,55,1,Harsh_Braking,1,Low
2026-01-01 06:06:00,Loader,CAT_008,OP_026,Loading,Gravel,Dry,1449.6,88.6,82.8,224.9,64.3,15.95,78.8,7.51,3.37,49.4,73.9,2.8,4.6,4.4,1.51,0.84,29.3,33.1,6.94,0.65,0.34,32.5,7.1,2250.4,30,0,Normal,0,Normal
2026-01-01 06:07:00,Loader,CAT_009,OP_013,Loading,Gravel,Wet,1733.8,74.7,89.0,241.4,64.3,18.79,53.3,11.19,5.34,83.2,78.9,2.4,3.82,7.47,0.58,0.77,20.6,38.2,2.82,0.65,4.58,38.0,4.3,5066.1,18,0,Normal,0,Normal
2026-01-01 06:08:00,Loader,CAT_001,OP_023,Material_Handling,Soil,Dry,1646.3,82.2,91.8,224.5,70.4,21.22,54.6,10.42,0.66,75.0,81.0,2.18,6.7,7.64,1.38,1.11,25.5,38.6,5.84,1.43,3.77,22.5,3.6,6708.2,56,0,Normal,0,Normal
2026-01-01 06:09:00,Loader,CAT_009,OP_007,Loading,Gravel,Damp,1904.4,91.6,83.8,301.6,61.0,19.74,77.8,5.62,2.31,61.5,49.9,1.51,10.41,4.9,0.81,2.0,32.1,38.9,5.43,1.94,0.0,19.2,11.8,6715.2,25,0,Normal,0,Normal
