Task_ID,Task_Date,Machine_ID,Machine_Type,Machine_Age_yrs,Machine_Maintenance_Status,Operator_ID,Operator_Skill,Operator_Fatigue_Level,Task_Type,Task_Volume,Load_Weight_tons,Travel_Distance_m,Fuel_Consumption_L,Idle_Time_during_task_min,Site_Terrain,Site_Condition,Weather,Temperature_C,Humidity_Percent,Visibility,Shift_Time,Estimated_Time_min,Breakdown_During_Task,Delay_Reason,Actual_Time_min,Time_Deviation_Percent
TASK00001,2025-01-22,MC1010,Excavator,10,Due Soon,OP1011,Intermediate,2.4,Demolition,71.8,0.69,369.5,2.48,15.0,Muddy,Normal,Clear,28.9,55.8,Poor,Morning,74.0,No,None,143.6,94.05
TASK00002,2025-02-21,MC1001,Excavator,1,Due Soon,OP1001,Beginner,8.5,Demolition,135.2,1.35,294.6,2.66,12.0,Rocky,Normal,Cloudy,30.5,79.7,Good,Night,123.4,No,None,220.8,78.93
TASK00003,2025-01-27,MC1010,Excavator,10,Good,OP1019,Expert,1.6,Earth Excavation,292.4,4.67,554.2,7.98,17.0,Flat,Wet,Clear,33.5,51.5,Good,Afternoon,164.1,No,Weather,223.0,35.89
TASK00004,2025-05-20,MC1007,Bulldozer,7,Due Soon,OP1012,Intermediate,4.8,Trenching,253.9,2.98,504.7,7.22,8.7,Rolling,,Cloudy,25.8,68.2,Moderate,Afternoon,187.6,No,None,246.0,31.13
TASK00005,2025-08-15,MC1003,Excavator,4,Due Soon,OP1009,Intermediate,5.4,Demolition,155.4,1.91,553.3,4.52,21.4,Steep,Normal,Cloudy,32.0,71.7,Good,Morning,139.2,No,None,197.7,42.03
TASK00006,2025-11-16,MC1003,Excavator,4,Good,OP1009,Intermediate,2.5,Material Loading,354.7,7.89,522.4,9.25,15.4,Rolling,Loose,Windy,28.5,51.0,Good,Afternoon,144.8,No,None,240.1,65.81
TASK00007,2025-03-15,MC1005,Loader,6,Good,OP1012,Intermediate,1.1,Earth Excavation,82.0,1.39,144.8,2.02,25.2,Flat,Normal,Windy,22.5,40.7,Good,Night,54.7,No,None,106.9,95.43
TASK00008,2025-01-26,MC1001,Excavator,1,Good,OP1016,Expert,3.1,Earth Excavation,228.7,1.37,229.2,3.37,6.6,Flat,Dry,Rainy,19.4,83.9,Moderate,Morning,130.9,No,None,143.5,9.63
TASK00009,2025-02-09,MC1007,Bulldozer,7,Due Soon,OP1019,Expert,2.4,Grading,871.0,7.54,566.6,17.74,1.3,Flat,Normal,Cloudy,27.7,49.6,Good,Afternoon,405.9,No,None,379.4,-6.53
TASK00010,2025-08-02,MC1008,Bulldozer,8,Good,OP1013,Intermediate,5.1,Trenching,73.9,0.6,211.2,1.99,9.5,Flat,Dry,Cloudy,24.7,68.6,Good,Afternoon,65.3,Yes,Equipment Fault,148.8,127.87
